id_paiement,id_inscription,reference,date_paiement,montant,mode_paiement,statut,tranche
6ff92ca6-0e35-433c-b25d-7575552e3f90,80d271e4-901c-4a33-92c5-0de2679345ca,REF_DOUBLON_123,2025-10-08,-15000.0,Chèque,ECHEC,3eme
4e195c2e-8726-460e-aef2-3ec80ab180d3,8afa51ab-9ff3-484e-9f94-8b8f28a9eb90,REF37691033,2026-02-08,-15000.0,Chèque,,Tranche 1
9ef11b37-aa2d-48c5-a1fd-53e9903818b5,5c12cbfe-0aa2-4b46-a307-74c66949262e,REF78973162,2024-12-27,-15000.0,Orange Money,VALIDE,1
b021b282-7d54-427c-89aa-b6b82c43cafd,b9bd17cd-d34c-4c0b-9bf9-916422f087ee,REF22425931,2026-02-10,15000000.0,Wave,ECHEC,1
a1b07637-e669-495f-a6b7-6e49555647cb,6bf909b8-bbc1-4a3c-89ea-53638542ac02,REF_DOUBLON_123,2024-10-25,10000.0,Wave,,2eme
eed0c3eb-1d2d-4aeb-8a7b-6152841c3b69,01ebc1a4-1ec7-46c2-bf55-e357621b395b,REF49267773,2026-07-25,-15000.0,Chèque,ECHEC,3eme
d5976009-e9d6-4435-8f2c-3934295c30a7,c9fc630c-d892-4e74-ab37-e925546e0c62,REF93052827,2024-11-16,0.0,Espèces,VALIDE,2eme
d298352c-b4b6-4f8e-b8a9-c60670229831,8802531c-272a-4424-b4f0-bfe6be187f87,REF72701001,2025-10-06,50000.0,Orange Money,,1ere
c61d46cb-c1c5-4691-9a15-7ee98c35571d,60c13fb0-0c85-458a-88e7-d2f8e8bb51d4,REF94793196,2026-01-12,0.0,Espèces,VALIDE,2eme
81731646-d855-49bb-99de-da29e0532a90,4c1a9b79-7221-4a81-9985-669a2928114b,REF58131546,2026-03-08,10000.0,Orange Money,REFUSE,1
4e5f4e74-e92d-4c3f-98fe-6981ee381e6d,f57afd44-eac0-4155-889b-4b0834a8fbb6,REF32717105,2025-03-19,0.0,Virement,VALIDE,1
49150bf9-0390-4a12-aaaf-6cb4f655e2a9,ba275459-0329-4d74-af9f-532cdb50024e,REF91803505,2026-02-21,10000.0,Espèces,VALIDE,3eme
52d37edb-f5ae-483f-8883-d306c89f753a,757ae758-b9e2-4155-b2fa-13cf183f7d19,REF_DOUBLON_123,2025-12-31,10000.0,Chèque,,1
6bc665dd-3b5f-4b55-baca-d9227f921f3d,20989d20-13ae-47fb-80f4-7f2f5387c50a,REF47984822,2024-07-30,-15000.0,Wave,REFUSE,1ere
08728900-ed40-4029-bece-e9109be93486,d2825737-1fbd-4925-af24-1603f7ebe555,REF06413112,2026-03-03,15000000.0,orange money,VALIDE,3eme
07e7fe15-ef55-452c-a890-3ce2bae96e49,ff0640b7-367a-4863-b900-ae0a4c00e7a6,REF04820277,2026-05-29,-15000.0,Espèces,REFUSE,1
4dc1a95e-2bbc-4d2f-a938-24961cb58e4e,e7257e85-ac0b-48b7-b8b1-c4556bbd582c,REF69220230,2025-01-07,0.0,OM,,1
cf10f606-01f7-418b-9449-0f8a2b868e80,8f459ef8-b198-41e8-9030-fde899328904,REF_DOUBLON_123,2024-11-07,0.0,Chèque,REFUSE,1ere
bb63b69f-8663-4c7e-b08d-6ccd16996df4,8dab2a32-7068-40ec-829b-2f60f4d66d24,REF56080380,2026-01-09,10000.0,OM,ECHEC,Tranche 1
27a3b68c-36ec-4117-9aaa-0672876a7716,bcf1f61a-124a-40e2-8881-3ea25506cc54,REF16433323,2025-10-04,15000000.0,Wave,ECHEC,2eme
1ca90b9f-aa2b-4b95-8e9b-ff15853a7d6d,c3d90eb6-c94a-4435-8d26-a6e13a8be121,REF76503436,2026-03-29,0.0,Virement,REFUSE,2eme
2e5f9d47-82fb-4d60-adcb-5949b80806c9,a55dcef6-f952-4e4d-8de9-2841d22b96cc,REF_DOUBLON_123,2026-04-16,50000.0,Wave,,1
c6cd4801-39dd-419f-8930-ae84dadd72ad,a922c4ef-79f2-436a-86a2-054a69e917b9,REF28344009,2026-01-21,-15000.0,Espèces,REFUSE,2eme
bb149323-b897-4ea2-9c23-c8f8b6c59e9c,062f9b2b-f972-476f-be18-5c8bb3a3c1a8,REF56140679,2026-07-18,-15000.0,Orange Money,VALIDE,Tranche 1
5843a5d8-972f-421f-bf54-e39288d0147a,2f84845c-8d00-4a41-af42-190a5831e852,REF68691361,2024-11-15,10000.0,Chèque,ECHEC,Tranche 1
e6273ee2-c4cf-4eec-b047-98e67ee17bb2,244b4714-9255-4299-afb6-8efd380c2b55,REF86142523,2026-05-26,0.0,Orange Money,REFUSE,1
